lat,lon
42.00930023,-88.09259796
12.55000019,77.41670227
-37.4580574,147.1124289
33.69682673,-117.8624329
39.74664707,-84.40909491
51.71654898,-0.582825758
40.56341051,-74.47073564
49.70988628,30.0489145
-2.366892424,33.18680821
31.94046529,34.83680472
19.68923587,-99.22782716
35.46333485,-97.04646322
41.53609345,-88.10229443
-2.361089296,-79.69817087
32.69219768,-115.3107079
30.70397077,111.0589022
30.08082072,-96.23240312
55.81764422,12.42770603
38.95365717,-77.09051069
57.62657597,13.16534436
29.74677952,76.99519698
43.00079142,-89.78364893
40.93539789,-81.43516734
33.50691996,-117.6513645
37.79999141,-85.85191044
29.96178024,-95.26160135
19.08526466,-98.15557911
30.08499908,31.23870087
50.19807529,30.33444977
51.21470711,7.166601288
30.74182535,120.7335477
39.17644399,-77.58788672
22.22734386,113.5572959
38.94884038,-108.3376335
